id,rating_total,rating_label,full_text,llm_label,comment
82,1.8,negative,"Вознаграждение достойное График удобный и разъездной характер работы, можно самому выставлять графи к Руководство нужно сменить, расторгают за один день без объяснения причин. Есть подозрения увольнение основанных на национальном признаке Не ценят рабочий труд и самих работников Полезный отзыв Это полезный отзыв 2 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Июнь 2026",,
83,4.3,positive,"Хоть работа была удалённая, но чувствовался командный дух. Заработная плата всегда приходила во время. Нам проводили интересные обучения, со временем ты реально прокачиваешься. Хорошая система мотивации отличного качества работы - рост в своей должности с прибавкой зп. Есть возможность перейти на другую должность. Раз в несколько месяцев проводились собеседования. Попробовать как то избегать поздних, даже редких смен, для сотрудников, которые изначально хотели работать днём (сейчас может уже правила другие). То же с зарплатой, сейчас скорее всего она выше, ведь в компании есть индексация. Ответ представителя компании Апрель 2026",,
84,4.5,positive,"Отношение кураторов, во многом помогают и идут навстречу Заработок зависит от себя и от своего умения разговаривать Обучение для новых работников и первые дни можно выдавать простых клиентов для закрепления порядка действий, а во второй рабочий день оформлять страховку на авто, такое себе Ответ представителя компании Июнь 2026",,
85,5.0,positive,"Желаю, чтобы банк продолжал развиваться и улучшать условия труда для сотрудников, не прекращал слышать сотрудников. Можно подумать в сторону бесплатных сбалансированных ПП-обедов. Ответ представителя компании Май 2026",,
86,2.0,negative,условно свободный график возможность работать без определённого оклада убрать нарушения добавить отпуск повысить зарплату прислушиваться к обратной связи Ответ представителя компании Февраль 2026,,
87,5.0,positive,"Самая большая ценность для меня на этой работе - коллектив. Не готова была обнаружить в отделе взыскания крупного банка такую человечность и дружелюбие со стороны коллег, но мы здесь настоящая опора друг для друга. Приятно работать в атмосфере взаимовыручки, когда в любую секунду можешь обсудить сложный диалог, получить совет или просто эмоциональную поддержку. Неформально встречаться вне работы получается редко, все работают на удаленке и всякий раз собраться в реале - это целый квест. Ответ представителя компании Январь 2026",,
88,5.0,positive,"Начал работать сразу после школы, не смог сразу определиться в какой ВУЗ поступать, а сидеть на шее у родителей не захотел. Считаю, что максимально правильно сделал, так как за 2 года работы сумел разобраться в самом себе и понял, что мне интересно. Когда каждый день с таким огромным количеством людей сталкиваешься, изучаешь море теории, проходишь тренинги, то невольно про разные сферы жизни информацию получаешь. Так и понял, что мое - это инвестиции. Сейчас перешел в это направление в Т-Банке, очень интересно, хоть и сложно. Не все назначенные встречи состоялись, а это моя упущенная выгода по большому счету, ведь на каждой можно потенциально заработать, если получится продать. Ответ представителя компании Февраль 2026",,
89,4.5,positive,"Свобода в выборе графика (от 20 часов в неделю), любое время и любые дни, хоть пол часа утром и 3 часа вечером. Есть рост, хорошее отношение к сотрудникам, подарки на новый год (даже если нет детей). Было бы здорово получать больше 40ка тысяч спустя 4 месяца работы, даже после окончания стажировки. Ответ представителя компании Март 2026",,
90,2.8,negative,"Комфортные условия труда, низкая нагрузка, лояльность, поддержка от руководства, возможность подобрать график работы из нескольких вариантов Низкая оплата труда, сложно продвигаться по карьерной лестнице, легко лишиться премии без которой зп низкая, малый учёт пожеланий по графику или предпочтительно му формату работы, маленькие перерывы, которые распределяют за тебя Ответ представителя компании Май 2026",,
91,1.2,negative,"Ничего хорошего, нет ни одного плюса, даже не могу сказать что свободный график, потому что выбрать время выхода ты можешь любое, но чтобы зарабатывать хоть какие то деньги надо сидеть на линии 24/7 Зарплата три копейки, первые три месяца вообще без денег сидишь пока обучение и стажировка идут, преподносят как удаленку со свободным графиком, а по факту нельзя работать меньше чем 8 часов на 5/2 или 12 часов 2/2. А в остальное от работы время должен присутствовать на миллионах созвонов, а ему может не повезти с руководителем группы, и ничего с этим не сделаешь Ответ представителя компании Январь 2026",,
92,2.5,negative,"Единственный плюс был в том, что работа была разьездная, без контроля руководителя Офис должен был находится,в ст Северская то есть в центре обслуживания районов, вместо этого офис находился в Яблоновском на квартире работника банка, нарушая регламент правил банка Ответ представителя компании Май 2026",,
93,2.0,negative,"Ранее было все хорошо и все делали для сотрудников по ГПХ, а щас все испортилось и все представители убегают от туда при первой же возможности Уменьшить штрафные санкции и меньше выставлять нарушения. Изменить систему мотивации в лучшую сторону , а не вычитать за все подряд. Ответ представителя компании Май 2026",,
94,2.3,negative,"Свободный график, интересные задания, самообучаемость, отсутствие руководства. Престиж профессии Систему оплаты, штрафы, гибкость, отношение в коллективе, помощь профессионалов, бонусы для представителей Ответ представителя компании Март 2026",,
95,5.0,positive,"Нет проблемы получить повышение, если нормально работаешь. Я никогда не стремилась к карьерному росту, честно говоря. Но меня на второй год работы уже повысили до ведущего оператора. То есть не обязательно ходить и выпрашивать повышения, достаточно просто себя показывать с лучшей стороны. Чтобы при повышении больше росла зарплата, чтобы была мотивация расти. Ответ представителя компании Май 2026",,
96,1.7,negative,"Обучение было достаточно углубленное и компетентное, а кроме этого добавить, как сожалению, больше нечего Рабочее место, коллектив, условия труда на то время, руководство, вечные технические накладки, которыми ты расплачиваешься своим же kpi, выполнение kpi, которое во многом зависит от руководителя, а не от твоего индивидуального показателя. Нет никакой клиентоориентированости, сплошное впаривание. Ответ представителя компании Июнь 2026",,
97,2.8,negative,"заработок зависит от продаж, сам себе по сути начальник - удобно что можешь и к клиенту приехать и по делам одновременно штрафы которые прилетают за все подряд достали, сильно большие штрафы минимум трешка и стабильно два раза в месяц, а то и больше приходит как бы ты не работал, ушел от работы так как пришло 54 т р штрафом не хотел выплачивать и ушел Полезный отзыв Это полезный отзыв 5 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Май 2026",,
98,4.7,positive,"Все вопросы решаются очень быстро, т.к. работа удаленная, все через ПК. Есть супер возможность карьерного роста-все зависит только от тебя. График работы сделать 3/3 и в свои выходные ТОЛЬКО отдыхать. Сделать оценивание сотрудника более лояльным. Ответ представителя компании Апрель 2026",,
99,1.3,negative,"Особо ничего, есть крп которые по кд выносят мозги, самое нормальное пообщаться с коллегами на насущную тему штрафов Да там все полностью переработать надо: штрафы за всякую ересь по поводу и без, взаимодействие с вышестоящими коллегами, отпускные и тд честно - работа недостаток, ужасный корпоративный строй компании Ответ представителя компании Январь 2026",,
100,1.0,negative,"Неплохая зп для регионов. Офиц трудоустройство. Автоматизированая стстема на первых этапах Автоматику чтобы проверяли люди. И не отказывать людям с плохой кредитной историей,или у кого есть долги. Люди идут на работу, чтобы решить свои финансовые вопросы уак раз таки) Ответ представителя компании Январь 2026",,
